iMSMS_ID,Flavobacteriia,Sphingobacteriia,Gammaproteobacteria,Tissierellia,Actinobacteria,Thermoprotei,Methanobacteria,Thermoplasmata,Clostridia,Deinococci,Thermomicrobia,Saprospiria,Bacteroidia,Fusobacteriia,Verrucomicrobiae,Planctomycetia,Spirochaetia,Chlamydiia,Fibrobacteria,Methanomicrobia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Anaerolineae,Epsilonproteobacteria,Dehalococcoidia,Mollicutes,Ktedonobacteria,Opitutae,Erysipelotrichia,Synergistia,Deferribacteres,Cytophagia,Coriobacteriia,Negativicutes,Bacilli
71401-0027,0.000607813001988417,1.41099446890168E-05,0.00148480033342885,0.000289796556305192,0.00426120329608308,0.000255064384762996,0.000560056266117898,1.0853803606936E-06,0.235109666831644,0,0,6.51228216416161E-06,0.637561106914307,1.41099446890168E-05,0.0656872194291768,8.68304288554881E-06,0.000119391839676296,0.000209478409613865,0.000116135698594215,3.2561410820808E-06,5.42690180346801E-06,8.14035270520201E-05,1.0853803606936E-05,0,4.12444537063569E-05,0,0,0,0,0.00448479165038596,0.000253979004402303,0,0,0.0124721057247302,0.0276576623511944,0.00868304288554881
71401-0032,0.000130273356927286,0,0.000703933226905334,0.000114274874497619,0.000317684151103381,0,0.0126685125868061,0.000482239970379953,0.623270021243699,0,0,4.57099497990476E-06,0.310443695055212,1.37129849397143E-05,0.0021312264093806,0,0.00292429403839407,0,5.25664422689048E-05,6.85649246985714E-06,0.000981621171934548,0.00744615082226486,0.00525892972438043,1.14274874497619E-06,0.0000239977236445,1.14274874497619E-06,2.28549748995238E-06,1.14274874497619E-06,0,0.0127553614914242,0.000374821588352191,1.14274874497619E-06,0,0.00393219843146307,0.0140032431209382,0.00195295760516431
71401-0033,0.000166826220975446,2.56655724577609E-06,0.000959892409920257,0.000417493311979577,0.00121055950092439,8.55519081925363E-07,4.27759540962681E-06,0,0.487162508416169,0,0,0,0.343179502447212,1.19772671469551E-05,0.123604541437494,0,8.46963891106109E-05,1.71103816385073E-06,6.15973738986261E-05,1.71103816385073E-06,5.13311449155218E-05,0.000122339228715327,0.00206008994927627,0,3.07986869493131E-05,0,0,0,0,0.0101319124872421,4.87645876697457E-05,0,2.56655724577609E-06,0.00414584547101031,0.0145677789270251,0.0119678564370539
71401-0034,0.000539738163130538,0,0.00159414339154243,0.000382689021886595,0.0018230945492595,0,1.18259895515017E-05,0,0.559973850371904,4.73039582060068E-07,0,0,0.343890315366029,5.20343540266075E-06,0.0258511401200007,1.41911874618021E-06,0.00027341687843072,1.89215832824027E-06,0.000407760119735779,9.46079164120137E-07,1.51372666259222E-05,0.00620060284164338,0.00782975116225825,0,3.59510082365652E-05,0,1.41911874618021E-06,9.46079164120137E-07,0,0.0148936512411613,0.000105014787217335,0,4.73039582060068E-07,0.00437987349029417,0.0301903322062377,0.00158893995613977
71401-0035,0.000747810961677583,6.09462886452798E-07,0.0066663050520207,6.52125288504494E-05,0.00321674511469787,1.82838865935839E-06,0,0,0.270494865579913,0,0,1.15797948426032E-05,0.673756345270477,1.15797948426032E-05,0.000180401014390028,3.65677731871679E-06,3.53488474142623E-05,6.09462886452798E-07,0.000142614315429955,0,1.03608690696976E-05,0.0276586447130009,0.000699663393647812,0,2.80352927768287E-05,0,7.31355463743358E-06,1.82838865935839E-06,0,0.0043668015814343,1.52365721613199E-05,0,2.43785154581119E-06,0.00166200529135678,0.0031685975466681,0.00704356257873499
71401-0036,0.000156850023750302,1.78238663352616E-06,0.000251316515327188,0.000112290357912148,0.00616794894531727,0,5.34715990057847E-06,1.78238663352616E-06,0.357854220379631,5.34715990057847E-06,0,2.67357995028924E-06,0.564977350321854,3.56477326705232E-06,5.97099522231263E-05,8.91193316763079E-07,7.21866586578094E-05,2.67357995028924E-06,0.00070047794697578,0,3.56477326705232E-06,0.00945912586412332,0.003611115319524,0,3.03005727699447E-05,0,3.56477326705232E-06,0,8.91193316763079E-07,0.00417880546230208,2.04974462855508E-05,0,0,0.00348367467522688,0.0452530142385956,0.00357903236012053
71401-0039,0.000265234686101918,5.73480402382524E-06,0.0198187658558371,0.000999289601151549,0.000969181880026466,5.01795352084709E-06,0.00229463846003308,0.000632978994129711,0.262889868106676,0,0,4.30110301786893E-06,0.630270016078957,7.16850502978155E-07,0.0312346101157642,0,6.59502462739903E-05,4.30110301786893E-06,6.88176482859029E-05,0.00012831624003309,0.000180646326750495,0.00637996947650558,0.00589394483548639,1.43370100595631E-06,0.0001476712036135,0,4.94626847054927E-05,0,8.60220603573787E-06,0.00824234708324283,0.00159857662164129,7.16850502978155E-07,0,0.00300575415898741,0.0224431555472401,0.00238997957692917
71401-0040,0.000362402670683395,1.18046472535308E-06,0.00161487574428301,0.000231371086169203,0.000476907749042643,2.36092945070615E-06,0.0176101727728172,0,0.379030696804718,0,0,2.36092945070615E-06,0.411031915044315,5.90232362676539E-06,0.132701942100566,0,0.000120407401986014,7.08278835211846E-06,9.67981074789523E-05,1.29851119788838E-05,0.000155821343746606,0.000845212743352803,0.011039706111502,0,9.32567133028931E-05,0,2.36092945070615E-06,0,0,0.0217559648882572,0.0104459323546494,2.36092945070615E-06,0,0.00995249809945179,0.00120525448458549,0.00119226937260661
71401-0041,0.000444143099126597,9.44985317290633E-07,0.00101538672342878,0.000170097357112314,0.00217063127381658,9.44985317290633E-07,4.72492658645316E-06,9.44985317290633E-07,0.405433665574421,0,0,2.22071549563299E-05,0.572510849612674,2.59870962254924E-05,0.0010394838490197,4.72492658645316E-07,3.77994126916253E-05,1.41747797593595E-06,0.000120958120613201,8.97736051426101E-06,3.77994126916253E-06,0.00257839243822749,0.0016901062399743,0,5.76441043547286E-05,0,7.55988253832506E-06,0,0,0.00807253707295523,0.000400673774531228,0,1.41747797593595E-06,0.00117603422736819,0.00122800841981918,0.00177420993321316
71401-0047,0.000215511345704886,6.67217788560017E-07,0.0248778824642488,0.000192158723105285,0.00260948877105823,7.33939567416019E-06,0.00196895969404061,0,0.584404718297314,6.67217788560017E-07,0,0,0.339931450044403,1.33443557712003E-06,0.000568469555853135,0,6.80562144331218E-05,6.67217788560017E-06,5.07085519305613E-05,2.40198403881606E-05,0.00514424914979773,0.00366769618371441,0.00808868125071309,0,1.80148802911205E-05,0,3.53625427936809E-05,0,0,0.00926765508309864,0.000284234777926567,6.67217788560017E-07,1.33443557712003E-06,0.00482531904686604,0.0100289505798456,0.0037097309043937
